cuestionario;factor;campo;genero;filtro_a;p1edad;edadr;filtro_b;filtro_c;voluntad;p2;p2_1;p2_1_1;p2_2;p2_2_1;p3;p4;p5;p6;p7;p7_1;p7_2;p7_2_1;p7_2_2;p7_2_3;p7_2_4;p7_2_5;p7_2_6;p7_3;p7_3_1;p7_3_2;p7_3_3;p7_3_4;p8;p9estrato;p10;p11;p11_1;p12;p12_1;p13;p14;p15;p15_1;p16;p16_1;p17;p17_v2_1;p17_v2_2;p17_v2_3;p17_v3;p17_v3_otro;p17_v4;p17_v5;p17_v6;p17_v7;p17_v7_1;p18;p18_p1;p18_p2;p18_p3;p18_p4;p18_c1;p19_1;p19comuna;p20;p20_1;p20_1_otro;p21;p22;p23;p23_1;p23_1_1;p23_2;p23_2_1;p23_2_2;p23_2_3;p24;p25;p25_1;p26;p27;p27_1;p27_otro;p28p28_1;p28p28_2;p28p28_3;p28p28_4;p28p28_5;p28p28_6;p28p28_7;p28p28_8;p28p28_9;p29;p29_otro;p30;p30_otro;p31;p32;p33;p33_otro;p34;p34_otro;p35;p35_otro;p36;p37;p38p38_1;p38p38_2;p38p38_3;p38p38_4;p38p38_5;p38p38_6;p38p38_7;p38p38_99;p38_99_otro;p39;p39_1;p39_otro;p39_1_2;p39_1_1;p39_1_otro;p39_2;p40;p41;p47latitude;p47longitude;p47altitude;p47accuracy
90;4.780.720.129.999.990;Presencial en hogares;Femenino;Si;69;65 - 80 años;No;Si;Si;Si;Antioquia;Ciudad Bolívar;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);Si;Secundaria completa;Si;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 3;Entre 100 y 300 mil pesos;No;;Dificultad para ver, aún utilizando lentes;;No;No;0;;1;0;Bus, colectivo, buseta;;;;;;;;;;;;5;20;15;20;;Medellín;Comuna 4 - Aranjuez;Medellín;Comuna 10 - La Candelaria;;Uno;Entre 6 y 10 km;A realizar compras;;;;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);La comodidad (confort);El tiempo de espera;Congestión de tráfico;Ser víctima de robo o atraco;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Otra razón ¿Cuál?;Porque ahí­ con que comprar carro;Los vehículos que circulan en la ciudad;Alto;Bus, colectivo, busetas;;Metro;;Falta de información;;Muy influyente;Muy influyente;No;Si;No;Si;Si;No;No;No;;En una buseta o colectivo;;;Otro;;Lo mire feo;No;Mujer;No;62.729.924;-755.608.939;1.509.599.976;5.396
91;57.921.810.765;Presencial en hogares;Masculino;Si;29;25 - 34 años;No;Si;Si;Si;Antioquia;Medellín;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Secundaria completa;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;;;;;Con su pareja y otros familiares;Estrato 2;Más de 500 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;Si, motocicleta;0;;0;;Bus, colectivo, buseta;;;;;;;;;;;;5;2;30;10;;Medellín;Comuna 6 - Doce de Octubre;Medellín;Comuna 6 - Doce de Octubre;;Tres;Entre 11 y 15 km;Ir a trabajar;;;;;;;Satisfecho;Por razones medioambientales (consciencia ambiental);;Nada me disgusta;Ser víctima de situaciones de discriminación;;;Muy importante;3;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 2T;;Costos asociados;;Los vehículos que circulan en la ciudad;Alto;Automóviles particulares;;Bicicleta;;Falta de información;;3;3;No;No;No;No;No;No;No sabe;No;;;;;;;;No;Hombre;No;63.049.881;-755.844.114;1.881.699.951;64.503
92;4.682.983.471.636.360;Presencial en hogares;Femenino;Si;28;25 - 34 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Tecnológico;No;Trabajar;Empleado en empresa, gobierno u organización;De lunes a sábado;;;;;;;;;;;;Con sus hijos y otros familiares;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;Si, motocicleta;0;;0;;Metro;;;;;;;;;;;;5;2;60;5;;Medellín;Comuna 6 - Doce de Octubre;Medellín;Comuna 6 - Doce de Octubre;;No salgo del hogar con frecuencia;Menos de 5 km;Ir a trabajar;;;;;;;Satisfecho;Por razones medioambientales (consciencia ambiental);;El costo de compra;Congestión de tráfico;;;Muy importante;4;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;4;Muy importante;Moto 4T;;Costos asociados;;Los vehículos que circulan en la ciudad;Alto;Bus, colectivo, busetas;;Bicicleta;;Inclinación del terreno;;Nada influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;63.050.991;-75.579.522;0;100
93;38.460.858.930.000.000;Presencial en hogares;Femenino;Si;76;65 - 80 años;No;Si;Si;Si;Caldas;La Celia;;;Ninguna de las anteriores;Si;Básica primaria incompleta;Si;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con sus hijos y otros familiares;Estrato 2;Entre 300 mil y 500 mil pesos;No;;Ninguna dificultad;;No;No;0;;1;0;Taxi;;;;;;;;;;;15;;;;;;Medellín;Comuna 1 - Popular;Medellín;Comuna 16 - Belén;;Cuatro o más;Entre 16 y 20 km;A realizar actividades físicas y/o deportivas (ir al gym, trotar, entrenar);;;;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;El tiempo de espera;Multitud de personas;;;Muy importante;4;3;2;2;2;3;4;Muy importante;Bus, colectivo, busetas;;Costos asociados;;Los vehículos que circulan en la ciudad;Bajo;Automóviles particulares;;Bus, colectivo, buseta;;Costos altos;;2;3;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;62.904.764;-755.435.807;1783.4;12.883
94;38.460.858.930.000.000;Presencial en hogares;Femenino;Si;27;25 - 34 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria incompleta;Si;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;No;0;;0;;Metro Cable;;;;;;;;;;;;15;2;20;2;;Medellín;Comuna 1 - Popular;Medellín;Comuna 1 - Popular;;No salgo del hogar con frecuencia;Menos de 5 km;A acompañar o llevar a alguien;Una niña o niño;;Atender asuntos médicos;Asistir a un centro educativo (colegio, jardín infantil);Ir a un evento social, cultural, religioso y/o recreativo;Realizar un trámite personal;Muy satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;El tiempo de viaje;Multitud de personas;Ser víctima de situaciones de acoso o violencia;;Muy importante;Muy importante;Muy importante;3;4;Muy importante;Muy importante;4;3;Automóvil;;Costos asociados;;Uso de aerosoles y productos químicos;Muy alto;Automóviles particulares;;Otro;No sabe;Inseguridad;;3;Muy influyente;Si;Si;Si;No;No;No;No;No;;En una buseta o colectivo;;;Otro;;Lo confrontó;Si;Mujer;No;62.909.699;-75.543.452;1820.6;5.905
95;6.985.775.898;Presencial en hogares;Masculino;Si;20;18 - 24 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Estudiar;;;;;;;;;De lunes a domingo;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Entre 100 y 300 mil pesos;Si;Un hombre de la familia que vive con usted;Ninguna dificultad;;No;No;0;;0;;Metro;;;;;;;;;;;;10;10;60;10;;Medellín;Comuna 1 - Popular;Medellín;Comuna 9 - Buenos Aires;;Dos;Menos de 5 km;Ir a estudiar;;;;;;;Muy satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);La comodidad (confort);Las condiciones de incomodidad;Congestión de tráfico;;;4;3;4;Muy importante;4;3;2;2;4;Moto 2T;;Otra razón ¿Cuál?;No se conducir;Vertederos (basureros) y rellenos sanitarios;Moderado;Bus, colectivo, busetas;;Metro;;Falta de información;;4;4;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;62.907.044;-755.431.445;1.455.599.976;8.583
96;38.460.858.930.000.000;Presencial en hogares;Femenino;Si;60;55 - 64 años;No;Si;Si;Si;Caldas;Chinchiná;;;Ninguna de las anteriores;Si;Básica primaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con su pareja y otros familiares;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;1;0;1;0;Bus, colectivo, buseta;;;;;;;;;;;;2;15;30;20;;Medellín;Comuna 1 - Popular;Medellín;No sabe. ¿A dónde se dirige?;Centro;No salgo del hogar con frecuencia;Entre 6 y 10 km;A realizar compras;;;;;;;Satisfecho;El tiempo de viaje;La comodidad (confort);El tiempo de espera;Tiempos de espera largos o inciertos;Congestión de tráfico;;Muy importante;Muy importante;Muy importante;Muy importante;3;3;3;Nada Importante;2;Moto 2T;;Otra razón ¿Cuál?;No se conducir;Los vehículos que circulan en la ciudad;Alto;Bus, colectivo, busetas;;Moto 4T;;Condiciones climáticas;;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;6.290.696;-755.432.931;1817.1;4.9
97;60.192.807.675;Presencial en hogares;Femenino;Si;80;65 - 80 años;No;Si;Si;Si;Antioquia;Amalfi;;;Ninguna de las anteriores;Si;Básica primaria incompleta;Si;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con sus hijos y otros familiares;Estrato 1;No sabe/no responde;No;;Dificultad permanente para moverse (por ejemplo utiliza silla de ruedas, muleta, caminadores);Dificultad para oír, aún utilizando aparatos especiales;No;No;0;;0;;Bus, colectivo, buseta;;;;;;;;;;;;0;1;60;5;;Medellín;Comuna 1 - Popular;Medellín;No sabe. ¿A dónde se dirige?;Centro;No salgo del hogar con frecuencia;Menos de 5 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Satisfecho;La distancia que debe recorrer;;Nada me disgusta;Ser víctima de robo o atraco;;;4;3;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;4;3;Taxi;;Costos asociados;;Incineración de residuos;Moderado;Bus, colectivo, busetas;;Otro;Taxi;Inseguridad;;4;3;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;62.892.977;-75.544.041.000.000.000;1850.2;8.3
98;4.373.209.302;Presencial en hogares;Masculino;Si;50;45 - 54 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Técnico profesional;No;Trabajar;Empleado en empresa, gobierno u organización;De lunes a domingo;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 1;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Bus, colectivo, buseta;;;;;;;;;;;;2;10;60;10;;Medellín;Comuna 1 - Popular;Medellín;Comuna 16 - Belén;;Dos;Entre 6 y 10 km;Ir a trabajar;;;;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;El tiempo de viaje;Ser víctima de robo o atraco;Exposición a condiciones climáticas desfavorables (lluvia o calor);;Muy importante;Muy importante;Nada Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Bicicleta;;Nivel de siniestralidad vial;;Los vehículos que circulan en la ciudad;Alto;Bus, colectivo, busetas;;Caminata;;Inseguridad;;Muy influyente;Muy influyente;No;No;No;Si;No;No;No;No;;En uno de los alimentadores del metro;En una buseta o colectivo;;No tomó ninguna acción;;;Si;Hombre;No;62.889.713;-755.444.834;1841.4;10.325
99;4.373.209.302;Presencial en hogares;Masculino;Si;26;25 - 34 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Universitario;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 1;Menos de 100 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;Si, motocicleta;0;;1;1;Moto 4T;;Menos de 125 cc;;Gasolina corriente;;2022;Medellín;Conductor;Nunca;;60;;;;;;Medellín;Comuna 1 - Popular;Medellín;Comuna 11 - Laureles Estadio;;Tres;Entre 6 y 10 km;Ir a trabajar;;;;;;;Muy satisfecho;La comodidad (confort);;La vulnerabilidad frente accidentes de tránsito;Congestión de tráfico;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Metro;;Tiempos de viaje o espera asociados;;Los vehículos que circulan en la ciudad;Moderado;Bus, colectivo, busetas;;Camión liviano;;Costos altos;;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;62.889.043;-755.444.007;1841.5;7.05
100;6.985.775.898;Presencial en hogares;Masculino;Si;57;55 - 64 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;Si;Básica primaria incompleta;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a domingo;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Menos de 100 mil pesos;Si;Usted;Ninguna dificultad;;Sí, auto y motocicleta;Si de auto y motocicleta;0;;2;1;Moto 4T;;Menos de 125 cc;;Gasolina corriente;;Modelos anteriores a 2005;Otro municipio por fuera del área metropolitana;Conductor;Siempre;1;20;;;;;;Medellín;Comuna 1 - Popular;Medellín;Comuna 8 - Villa Hermosa;;Tres;Menos de 5 km;A visitar a alguien (familiar o amigo);;;;;;;Muy satisfecho;El tiempo de viaje;La percepción de seguridad;La vulnerabilidad frente accidentes de tránsito;Congestión de tráfico;;;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;Nada Importante;Nada Importante;Muy importante;Muy importante;Metro;;Tiempos de viaje o espera asociados;;Los vehículos que circulan en la ciudad;Bajo;Bus, colectivo, busetas;;Otro;Carros eléctricos;Falta de infraestructura (andenes, ciclorutas, etc.);;2;Nada influyente;No;No;No;No;No;No;No;No;;;;;;;;Si;Hombre;No;62.886.672;-755.442.693;1828;8.26
101;6.985.775.898;Presencial en hogares;Masculino;Si;21;18 - 24 años;No;Si;Si;Si;Antioquia;Medellín;;;No sabe/ No responde;Si;Secundaria completa;No;Trabajar;Empleado en empresa, gobierno u organización;Viernes;Sábado;Domingo;Jueves;Lunes;Martes;;;;;;;Sola(o);Estrato 2;Más de 500 mil pesos;No;;Ninguna dificultad;;Sí, auto y motocicleta;Si, motocicleta;0;;0;;Moto en plataforma (Ejemplo: Didi, Picap, Uber, otras);;;;;;;;;;;30;;;;;;Medellín;Comuna 1 - Popular;Medellín;Comuna 16 - Belén;;Tres;Entre 16 y 20 km;Ir a trabajar;;;;;;;Satisfecho;El tiempo de viaje;La comodidad (confort);El tiempo de viaje;Tiempos de viaje largos o inciertos;Tiempos de espera largos o inciertos;;Muy importante;4;4;4;Muy importante;Nada Importante;Nada Importante;4;3;Automóvil;;Costos asociados;;Vertederos (basureros) y rellenos sanitarios;Bajo;Bus, colectivo, busetas;;Metro;;Falta de información;;3;2;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;62.880.845;-755.443.884;1827.4;9.233
102;38.460.858.930.000.000;Presencial en hogares;Femenino;Si;70;65 - 80 años;No;Si;Si;Si;Antioquia;Armenia;;;Ninguna de las anteriores;Si;Básica primaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;0;;1;0;Taxi;;;;;;;;;;;12;;;;;;Medellín;Comuna 1 - Popular;Medellín;Comuna 3 - Manrique;;No salgo del hogar con frecuencia;Menos de 5 km;A visitar a alguien (familiar o amigo);;;;;;;Muy satisfecho;La comodidad (confort);;El tiempo de espera;Costos altos;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Taxi;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Alto;Bus, colectivo, busetas;;Otro;Taxi;Condiciones climáticas;;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;62.874.346;-755.445.324;1807.5;4.933
103;6.985.775.898;Presencial en hogares;Masculino;Si;18;18 - 24 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria incompleta;No;Trabajar y estudiar;Trabajador independiente o por cuenta propia;Ningún día;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;No;0;;2;0;Moto 4T;;Entre 150 cc y 250 cc;;Gasolina extra;;2025;Medellín;Conductor;Algunas veces;1;15;;;;;;Medellín;Comuna 1 - Popular;Medellín;Comuna 4 - Aranjuez;;Dos;Menos de 5 km;Ir a estudiar;;;;;;;Ni satisfecho ni insatifecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;Las condiciones de incomodidad;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;Muy importante;3;Muy importante;Muy importante;4;3;3;Muy importante;3;Automóvil;;Costos asociados;;Vertederos (basureros) y rellenos sanitarios;Moderado;Bus, colectivo, busetas;;Moto 4T;;Condiciones climáticas;;2;2;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;62.872.911;-755.450.334;1.602.800.049;4.6
104;38.460.858.930.000.000;Presencial en hogares;Femenino;Si;67;65 - 80 años;No;Si;Si;Si;Caldas;Arboleda;;;Ninguna de las anteriores;Si;Básica primaria incompleta;Si;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Sola(o);Estrato 2;No sabe/no responde;Si;Una mujer de la familia que no vive con usted;Dificultad temporal para moverse;Dificultad para oír, aún utilizando aparatos especiales;No;No;0;;0;;Bus, colectivo, buseta;;;;;;;;;;;;10;30;30;5;;Medellín;Comuna 1 - Popular;Medellín;Comuna 1 - Popular;;No salgo del hogar con frecuencia;Menos de 5 km;A realizar compras;;;;;;;Poco Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;Las condiciones de incomodidad;Tiempos de viaje largos o inciertos;Tiempos de espera largos o inciertos;;3;Nada Importante;Nada Importante;Muy importante;2;3;Muy importante;Muy importante;Muy importante;Otro;No sabe;Otra razón ¿Cuál?;No sabe;Vertederos (basureros) y rellenos sanitarios;Muy alto;Automóviles particulares;;Otro;No sabe;Costos altos;;3;3;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;62.868.866;-755.449.871;1.562.599.976;7.15
105;6.985.775.898;Presencial en hogares;Masculino;Si;20;18 - 24 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria incompleta;No;Trabajar;Empleado en empresa, gobierno u organización;Sábado;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, auto y motocicleta;No;0;;1;0;Moto 2T;;Menos de 125 cc;;Gasolina corriente;;2019;Otro municipio por fuera del área metropolitana;Conductor;Siempre;1;60;;;;;;Medellín;Comuna 1 - Popular;Medellín;Comuna 4 - Aranjuez;;Dos;Menos de 5 km;Ir a trabajar;;;;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;La exposición a condiciones climáticas desfavorables (lluvia o calor);Exposición a condiciones climáticas desfavorables (lluvia o calor);;;Muy importante;Muy importante;Muy importante;3;2;2;2;2;3;Automóvil;;Costos asociados;;Los vehículos que circulan en la ciudad;Moderado;Bus, colectivo, busetas;;Bicicleta;;Falta de información;;4;4;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;62.877.163;-755.454.018;1.602.800.049;4.253
106;38.460.858.930.000.000;Presencial en hogares;Femenino;Si;52;45 - 54 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Básica primaria completa;Si;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Bus, colectivo, buseta;;;;;;;;;;;;5;30;45;15;;Medellín;Comuna 1 - Popular;Barbosa;No sabe. ¿A dónde se dirige?;Centro;No salgo del hogar con frecuencia;Menos de 5 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Muy satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);Otro;El tiempo de espera;Exposición a condiciones climáticas desfavorables (lluvia o calor);Ser víctima de robo o atraco;;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Taxi;;Costos asociados;;Construcciones y obras civiles o demoliciones;Alto;Bus, colectivo, busetas;;Moto 2T;;Inseguridad;;Muy influyente;Muy influyente;No;No;No;No;Si;No;No;No;;Mientras caminaba;;;No tomó ninguna acción;;;No;Mujer;No;628.762;-755.455.033;1.602.800.049;5
107;38.460.858.930.000.000;Presencial en hogares;Femenino;Si;24;18 - 24 años;No;Si;Si;Si;Antioquia;Bello;;;Ninguna de las anteriores;No;Secundaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Bus, colectivo, buseta;;;;;;;;;;;;3;10;30;10;;Medellín;Comuna 1 - Popular;Medellín;Comuna 2 - Santa Cruz;;No salgo del hogar con frecuencia;Entre 6 y 10 km;A realizar algún trámite personal;;;;;;;Satisfecho;El tiempo de viaje;;El tiempo de espera;Congestión de tráfico;;;4;3;4;4;2;2;2;3;3;Automóvil;;Costos asociados;;Uso de aerosoles y productos químicos;Alto;Automóviles particulares;;Caminata;;Falta de información;;3;3;Si;No;Si;No;No;No;No;No;;En el metro;En una buseta o colectivo;;No tomó ninguna acción;;;Si;Mujer;No;6.287.655;-755.456.669;1.602.800.049;9.89
108;27.806.249.625;Presencial en hogares;Masculino;Si;35;35 - 44 años;No;Si;Si;Si;Bogotá;Bogotá;;;Ninguna de las anteriores;No;Secundaria incompleta;No;Trabajar;Trabajador independiente o por cuenta propia;Ningún día;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 4;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Metro;;;;;;;;;;;;20;3;40;30;;Medellín;Comuna 15 - Guayabal;Bello;Comuna 12 - La América;;Uno;Más de 20 km;A realizar compras;;;;;;;Muy satisfecho;La comodidad (confort);El tiempo de viaje;Nada me disgusta;Congestión de tráfico;Costos altos;;4;4;3;3;2;Nada Importante;Nada Importante;3;3;Automóvil;;Costos asociados;;Los vehículos que circulan en la ciudad;Moderado;Camión pesado;;Bicicleta;;Falta de información;;2;3;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;61.660.362;-756.132.977;1.599.599.976;15.231
109;4.907.641.161;Presencial en hogares;Masculino;Si;49;45 - 54 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Especialización;No;Trabajar;Profesional independiente (por ejemplo, por prestación de servicios);De lunes a viernes;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;Si de auto y motocicleta;0;;1;1;Moto 4T;;Menos de 125 cc;;Gasolina corriente;;2006;Otro municipio por fuera del área metropolitana;Conductor;Algunas veces;1;35;;;;;;Medellín;Comuna 4 - Aranjuez;Medellín;Comuna 10 - La Candelaria;;Dos;Entre 11 y 15 km;Ir a trabajar;;;;;;;Muy satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);La comodidad (confort);La exposición a condiciones climáticas desfavorables (lluvia o calor);Tiempos de viaje largos o inciertos;Multitud de personas;;Muy importante;4;Muy importante;Muy importante;2;Nada Importante;Nada Importante;2;Muy importante;Automóvil;;Costos asociados;;Empresas manufactureras;Moderado;Bus, colectivo, busetas;;Otro;Bus eléctrico;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada influyente;2;No;No;No;No;No;Si;Si;No;;En el metro;;;No tomó ninguna acción;;;Si;Hombre;No;627.272;-755.610.309;1.505.300.049;12.758
